rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 35 기 반기말,405819030789,제 34 기말,400595688396,1,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 35 기 반기말,28407626366,제 34 기말,15550237957,2,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 35 기 반기말,712162626,제 34 기말,364653000,3,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,-,제 35 기 반기말,77136968074,제 34 기말,86430171023,4,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 35 기 반기말,291173281845,제 34 기말,292125534333,5,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_CurrentTaxAssets,당기법인세자산,-,제 35 기 반기말,1197297969,제 34 기말,253171393,6,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 35 기 반기말,7191693909,제 34 기말,5871920690,7,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 35 기 반기말,449668941369,제 34 기말,446441202544,8,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,-,제 35 기 반기말,2381568500,제 34 기말,2225114220,9,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,매출채권및기타채권,-,제 35 기 반기말,841270536,제 34 기말,1241809135,10,KRW,,,,
20200814001960,11012,2020,00139719,BS,재무상태표,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 35 기 반기말,19500000,제 34 기말,19500000,11,KRW,,,,
